album,phonetic_entropy,song,lexical_entropy,first_person_rate,phonetic_repetition_rate,repetition_rate,line_end_similarity,second_person_rate,artist,third_person_rate
the_great_impersonator,3.424497391647631,lonely_is_the_muse,6.3692,105.769,0.5714285714285714,0.3784,0.4324,35.256,halsey,0.0
the_great_impersonator,4.194879010866496,lucky,6.5059,131.98,0.5217391304347826,0.2174,0.3913,10.152,halsey,20.305
the_great_impersonator,4.431127542695028,only_living_girl_in_LA,6.7276,160.207,0.4375,0.1042,0.3333,2.584,halsey,0.0
the_great_impersonator,3.720950594454669,panic_attack,5.9409,113.26,0.6,0.45,0.575,49.724,halsey,2.762
the_great_impersonator,4.383981820580905,the_end,6.6223,98.315,0.48,0.098,0.3922,33.708,halsey,28.09
the_great_impersonator,3.7898227820087556,the_great_impersonator,6.4236,68.807,0.475,0.275,0.4,9.174,halsey,27.523
aka_lizzy_grant,2.478223362187888,brite_lites.txt,4.4643,183.673,0.8181818181818182,0.7045,0.8409,20.408,lana_del_rey,0.0
aka_lizzy_grant,3.2037016960573483,for_K_part_2.txt,5.8875,93.333,0.45,0.2,0.45,120.0,lana_del_rey,0.0
aka_lizzy_grant,2.8305169820490623,gramma.txt,5.6428,106.132,0.6842105263157895,0.5167,0.6333,28.302,lana_del_rey,0.0
aka_lizzy_grant,3.2536047171808358,jump.txt,5.0361,24.752,0.6285714285714286,0.4571,0.5143,133.663,lana_del_rey,9.901
aka_lizzy_grant,2.8657078222421677,kill_kill.txt,5.0833,134.259,0.6857142857142857,0.5714,0.6286,32.407,lana_del_rey,4.63
aka_lizzy_grant,3.342370993177109,mermaid_motel.txt,5.3926,107.477,0.5,0.4286,0.4286,102.804,lana_del_rey,4.673
aka_lizzy_grant,3.169925001442312,oh_say_can_you_see.txt,5.3817,48.78,0.3888888888888889,0.1111,0.3333,60.976,lana_del_rey,24.39
aka_lizzy_grant,2.9393486129540656,pawn_shop_blues.txt,5.9218,85.106,0.5185185185185185,0.1852,0.4074,42.553,lana_del_rey,5.319
aka_lizzy_grant,2.594195041880603,put_me_in_a_movie.txt,4.981,113.99,0.7037037037037037,0.6765,0.6765,124.352,lana_del_rey,31.088
aka_lizzy_grant,3.6695163212044566,queen_of_the_gas_station.txt,5.9031,86.957,0.5897435897435898,0.359,0.5128,67.633,lana_del_rey,19.324
aka_lizzy_grant,3.830026318961834,raise_me_up.txt,5.4294,193.798,0.7391304347826086,0.6304,0.7065,28.424,lana_del_rey,5.168
aka_lizzy_grant,3.245288014336223,smarty.txt,5.5371,86.022,0.7454545454545455,0.5273,0.7091,53.763,lana_del_rey,0.0
aka_lizzy_grant,2.857192196826163,yayo.txt,5.3744,128.906,0.75,0.5682,0.6818,105.469,lana_del_rey,0.0
blue_banisters,3.7284303578017126,arcadia,6.5722,110.032,0.5853658536585366,0.1951,0.4146,32.362,lana_del_rey,9.709
blue_banisters,3.5061983328100954,beautiful,6.0086,94.262,0.65,0.4,0.525,49.18,lana_del_rey,8.197
blue_banisters,3.967178089968258,black_bathing_suit,6.7563,108.545,0.5918367346938775,0.26,0.44,48.499,lana_del_rey,23.095
blue_banisters,4.605032125074863,blue_banisters,6.9402,89.636,0.4482758620689655,0.0167,0.2833,8.403,lana_del_rey,11.204
